frame,x [nm],y [nm],confidence [a.u]
1,79104.30349731445,17498.342308044434,0.7954297065734863
1,59207.242614746094,24812.86989593506,0.7014453411102295
1,50448.15840148926,24293.43199157715,0.8047265410423279
1,87432.63137817383,36721.700912475586,0.6868359446525574
1,65419.45721435547,46020.696212768555,0.7757617235183716
1,24955.57066345215,97805.88836669922,0.7469726800918579
1,15377.792015075684,101940.33001708984,0.801562488079071
1,27520.69317626953,100013.8918762207,0.7170312404632568
1,36696.10632324219,53847.883529663086,0.6758202910423279
1,12671.763271331787,11063.656723022461,0.6675000190734863
1,25955.87326812744,60113.850677490234,0.6265234351158142
1,97183.9814453125,54994.30709838867,0.6431249976158142
1,89564.35241699219,54404.9347076416,0.6647655963897705
1,81169.00006103516,56357.180755615234,0.8611719012260437
1,85280.9722290039,53263.950744628906,0.6468359231948853
1,6317.4878578186035,5300.484685897827,0.7377343773841858
1,7747.137119293213,1747.8471970558167,0.8651562333106995
1,3588.7072076797485,114492.10998535156,0.8939257860183716
1,83702.12133789062,51150.44705200195,0.6571289300918579
1,78225.79650878906,50154.09260559082,0.6401953101158142
1,21492.23236846924,97131.8821105957,0.8666015863418579
1,77353.24819946289,48816.8028717041,0.6481640338897705
1,78378.43966674805,47642.51287841797,0.7179101705551147
1,77497.46530151367,46946.01580810547,0.7349023222923279
1,17176.746063232422,47445.24717712402,0.7918359637260437
1,78667.04452514648,38381.63037109375,0.6146875023841858
1,93.08282932639122,12411.332370758057,0.815625011920929
1,119.2929225564003,13665.788108825684,0.841992199420929
1,105379.7038269043,5325.809072494507,0.6664843559265137
1,11565.111042022705,108430.84622192383,0.6488281488418579
1,8975.028560638428,109632.04626464844,0.7479882836341858
1,13337.080379486084,7715.174102783203,0.6600781083106995
1,89412.49142456055,20568.35089111328,0.6657812595367432
1,61108.310150146484,40542.373306274414,0.8249218463897705
1,65915.88345336914,38010.23684692383,0.6866601705551147
1,62128.90106201172,36645.862854003906,0.639843761920929
1,59605.99060058594,44360.07702636719,0.7512500286102295
1,57520.431549072266,41534.88803100586,0.6842968463897705
1,55924.095703125,41127.22691345215,0.7148827910423279
1,53502.340576171875,40892.673248291016,0.7166406512260437
1,45461.09944152832,40256.11849975586,0.7774023413658142
1,48954.86930847168,39661.85757446289,0.7112109661102295
1,53526.08641052246,37888.29724121094,0.6618554592132568
1,88395.53402709961,37397.6376953125,0.7401953339576721
1,82134.7682800293,36867.74543762207,0.6795703172683716
1,57489.6817779541,21205.46915435791,0.6965625286102295
1,50383.44486999512,20392.352981567383,0.6803515553474426
1,59207.78657531738,17591.04136657715,0.7909765839576721
1,22134.22494506836,36751.8747253418,0.6890624761581421
1,33265.32566833496,52140.09620666504,0.8843749761581421
1,43074.1649017334,48088.6778717041,0.8053515553474426
1,34686.77641296387,47652.496154785156,0.8149999976158142
1,36467.25891113281,47418.78153991699,0.9213671684265137
1,23708.95524597168,59557.94430541992,0.6191796660423279
1,17182.155448913574,59269.30744934082,0.9005468487739563
1,29449.55425262451,57551.4621887207,0.9821875095367432
1,27720.024505615234,53798.90574645996,0.7346289157867432
1,21402.839736938477,49806.242263793945,0.7684375047683716
1,20941.411849975586,48932.48159790039,0.6390625238418579
1,100132.58905029297,15000.985549926758,0.7098827958106995
1,78373.59735107422,26936.68928527832,0.8238672018051147
1,81612.27459716797,24055.79232788086,0.7295312285423279
1,79567.92855834961,20887.56330871582,0.7475390434265137
1,78603.32647705078,20789.067337036133,0.6185547113418579
1,58334.44543457031,12467.498966217041,0.6270703077316284
1,51637.409088134766,11214.53023147583,0.7196484208106995
1,58460.4665222168,6935.07998085022,0.7077538967132568
1,31838.90106201172,9492.511051177979,0.5985937714576721
1,30548.544815063477,5970.145923614502,0.7334765791893005
1,32355.731155395508,1337.4302792549133,0.7719531059265137
1,17996.96216583252,13980.767055511475,0.7850390672683716
1,28776.408378601074,8381.484916687012,0.6474999785423279
1,16573.964866638184,7283.324960708618,0.9491015672683716
1,15231.880813598633,7221.950742721558,0.8598046898841858
1,27286.857681274414,6673.627820968628,0.7790234088897705
1,55506.095779418945,36929.3551940918,0.8234765529632568
1,55454.191986083984,30761.364944458008,0.6512109637260437
1,50535.9778137207,30406.485778808594,1.0224218368530273
1,32507.417938232422,41675.67071533203,0.6938281059265137
1,20971.78653717041,43075.747009277344,0.7622265815734863
1,89559.04080200195,874.1974120140076,0.7221875190734863
1,85457.66342163086,13629.841381072998,0.9133984446525574
1,80066.04000854492,13520.153331756592,0.6927148699760437
1,88541.18035888672,13131.669490814209,0.6738671660423279
1,85774.20581054688,11649.478260040283,0.8062499761581421
1,80650.71585083008,10164.35124206543,0.7067577838897705
1,75932.57962036133,8246.372932434082,0.6852734088897705
1,85943.60864257812,6612.670461654663,0.8045312762260437
1,80008.97036743164,4544.739465713501,0.8619921803474426
1,78605.60186767578,2761.8702516555786,0.7194921970367432
1,87719.97055053711,1113.9650325775146,0.7281054854393005
1,79245.85412597656,820.6855130195618,0.6764062643051147
1,72286.47946166992,13135.899406433105,0.7893750071525574
1,67342.52493286133,13072.496891021729,0.7595312595367432
