frame,x [nm],y [nm],confidence [a.u]
1,3059.5564517974854,11096.880981445312,0.6903499364852905
1,23099.9931640625,11939.782550811768,0.6596230268478394
1,32533.663146972656,4276.24914932251,0.7948646545410156
1,33517.62026977539,2475.323021888733,0.8206552267074585
1,85804.0774230957,10392.894676208496,0.700298547744751
1,105843.4497680664,6640.76131439209,0.7423267960548401
1,3521.9733781814575,16457.825729370117,0.7696473598480225
1,3403.9023809432983,22863.82006072998,0.6954070329666138
1,96606.21710205078,10394.256355285645,0.7111843824386597
1,88222.3412475586,4778.790500640869,0.8979182243347168
1,93578.49700927734,9431.416812896729,0.6919624209403992
1,56474.45225524902,6579.720849990845,0.7074105739593506
1,106655.294921875,19483.611740112305,0.7729675769805908
1,74875.93798828125,21989.4301071167,0.7293910384178162
1,119.62146818637848,29880.163040161133,0.8280170559883118
1,32069.817657470703,20092.08674621582,0.767586350440979
1,11188.254802703857,44559.461685180664,0.7666629552841187
1,17241.041847229004,42723.132568359375,0.7357320189476013
1,6701.810222625732,62735.854400634766,0.6744723320007324
1,35766.25372314453,91653.50231933594,0.6538333296775818
1,110679.49389648438,101416.25067138672,0.8347562551498413
1,54697.72415161133,108196.92184448242,0.8142162561416626
1,64455.615966796875,105203.21884155273,0.7868443131446838
1,116353.11642456055,118660.22741699219,0.6885488629341125
1,18579.46572113037,22310.286849975586,0.6800842881202698
1,4689.101446151733,25509.39540863037,0.808107316493988
1,18288.66724395752,17501.001670837402,0.6802403926849365
2,80531.63470458984,4283.516622543335,0.6681181192398071
2,19662.10902404785,111167.6078491211,0.6602474451065063
2,77586.29797363281,7837.073711395264,0.8002235889434814
2,93606.91094970703,9411.337379455566,0.8336718082427979
2,3288.2929830551147,84259.87646484375,0.7153732180595398
2,6174.717317581177,10364.5456199646,0.7887670397758484
2,16049.380668640137,9757.386962890625,0.7254538536071777
2,33522.178161621094,2473.0125226974487,0.8372026681900024
2,32530.591369628906,4253.258371353149,0.9061194062232971
2,16984.427558898926,9381.268447875977,0.6950529217720032
2,110706.35772705078,101412.3469543457,0.8672483563423157
2,22372.189918518066,80443.81173706055,0.7389869689941406
2,24523.989501953125,16662.44556427002,0.7825570702552795
2,28805.044525146484,42409.13577270508,0.6910035610198975
2,17211.913291931152,42724.68978881836,0.9531686902046204
2,1049.0506267547607,39232.61935424805,0.8584431409835815
2,112389.33618164062,6553.42942237854,0.7090151906013489
2,32100.428771972656,20099.7733001709,0.7600213885307312
2,105840.00112915039,6612.289155960083,0.8859005570411682
2,4713.697885513306,25514.41015625,0.7629878520965576
2,54694.90124511719,108200.39181518555,0.8378597497940063
3,116350.0375366211,118660.14920043945,0.7415502071380615
3,54694.78747558594,108174.66567993164,0.7089519500732422
3,110678.35620117188,101414.63656616211,0.8897351026535034
