frame,x [nm],y [nm],confidence [a.u]
1,4397.839002609253,117519.57409667969,0.9585307240486145
1,10574.251308441162,6870.2091274261475,0.7617806196212769
1,6317.490968704224,5300.478464126587,0.7371194362640381
1,7747.126453399658,1747.8377532958984,0.8658518195152283
1,11035.99828338623,9266.398551940918,0.7748525738716125
1,53526.10774230957,37888.32568359375,0.6615540385246277
1,48954.879974365234,39661.864685058594,0.7120206356048584
1,45461.110107421875,40256.09716796875,0.7778486609458923
1,53502.361907958984,40892.67680358887,0.7168598771095276
1,55924.152587890625,41127.2233581543,0.7152990102767944
1,57520.45999145508,41534.90580749512,0.6848057508468628
1,88393.19464111328,16545.863792419434,0.8584515452384949
1,85189.31665039062,16718.596160888672,0.768247663974762
1,79104.32482910156,17498.374305725098,0.7957813143730164
1,78922.40734863281,19598.771392822266,0.6461985111236572
1,89412.51986694336,20568.361557006836,0.665374755859375
1,78603.31225585938,20789.074447631836,0.6185619831085205
1,79567.94989013672,20887.573974609375,0.7473103404045105
1,81612.21060180664,24055.79588317871,0.7318196296691895
1,78373.61157226562,26936.692840576172,0.824554979801178
1,100132.60327148438,15000.992660522461,0.709541380405426
1,12671.799713134766,11063.656723022461,0.666882336139679
1,93.0794198513031,12411.352813720703,0.8161628246307373
1,119.33605831861496,13665.770332336426,0.8414883613586426
1,105379.7038269043,5325.829071044922,0.6664102673530579
1,11565.119930267334,108430.85333251953,0.6485555768013
1,8975.037448883057,109632.04626464844,0.7474765777587891
1,3588.687653541565,114492.08154296875,0.8945271968841553
1,7694.340057373047,115682.57302856445,0.7595061659812927
1,27286.85945892334,6673.615821838379,0.7797030806541443
1,15231.895034790039,7221.954742431641,0.8596861362457275
1,16573.986198425293,7283.315628051758,0.9495533108711243
1,21664.557655334473,34284.576232910156,0.70708829164505
1,15463.919105529785,35414.99385070801,0.735817015171051
1,17213.086540222168,35590.9704284668,0.6475971937179565
1,21285.42780303955,36143.87612915039,0.6672987341880798
1,22134.208946228027,36751.8818359375,0.687575101852417
1,20971.77764892578,43075.747009277344,0.7626872062683105
1,32507.403717041016,41675.64227294922,0.6936734914779663
1,50535.981369018555,30406.482223510742,1.0227411985397339
1,55454.19909667969,30761.375610351562,0.6501443982124329
1,55506.1064453125,36929.3623046875,0.8231965899467468
1,28776.438598632812,8381.472473144531,0.6468015313148499
1,17996.96216583252,13980.769721984863,0.7854907512664795
1,32355.741821289062,1337.4219465255737,0.7719584703445435
1,30548.523483276367,5970.153034210205,0.7327573299407959
1,31838.897506713867,9492.507495880127,0.5982177257537842
1,58460.438079833984,6935.074647903442,0.7067532539367676
1,51637.42330932617,11214.527565002441,0.7200878858566284
1,58334.46321105957,12467.454524993896,0.626575767993927
1,62969.22415161133,3787.0930500030518,0.8077496886253357
1,68417.37680053711,6351.017871856689,0.770824134349823
1,67342.53915405273,13072.480892181396,0.7595959305763245
1,72286.46524047852,13135.920738220215,0.788912832736969
1,79245.86834716797,820.6882350444794,0.6771502494812012
1,87719.99188232422,1113.987253189087,0.7273614406585693
1,78605.62319946289,2761.876473426819,0.7202813625335693
1,80008.99880981445,4544.754131317139,0.8620158433914185
1,85943.62286376953,6612.665573120117,0.8042948842048645
1,75932.59384155273,8246.364933013916,0.6854997277259827
1,80650.73718261719,10164.350353240967,0.7053704857826233
1,85774.22714233398,11649.46492767334,0.8063840270042419
1,88541.1376953125,13131.629493713379,0.6733854413032532
1,80066.04000854492,13520.12844467163,0.6944023370742798
1,85457.67053222656,13629.848491668701,0.9132587909698486
1,89559.05502319336,874.1951344013214,0.7223477959632874
1,91946.86416625977,5364.636480331421,0.6754528880119324
1,91891.25930786133,6355.190902709961,0.7780104279518127
1,103564.88070678711,6402.3519287109375,0.8380529284477234
1,95643.79797363281,6699.407285690308,0.8022267818450928
1,94217.90310668945,6753.404260635376,0.7252554893493652
1,98735.81918334961,9262.455726623535,0.6175402998924255
1,92006.91314697266,9875.082431793213,0.7008413672447205
1,91223.06240844727,12226.245342254639,0.7628586292266846
1,20244.35304260254,106253.25473022461,0.6591875553131104
1,25539.762985229492,107534.55563354492,0.7008047699928284
1,27846.511337280273,109831.84689331055,0.6819387674331665
1,23994.118576049805,116147.21490478516,0.8425073027610779
1,50155.47561645508,111433.35925292969,0.655469536781311
1,58712.67224121094,111460.20886230469,0.7747701406478882
1,50760.84684753418,112332.64340209961,0.6352050304412842
1,57319.22302246094,118247.47866821289,0.7895509600639343
1,65915.89767456055,38010.229736328125,0.6869240403175354
1,61108.29592895508,40542.351974487305,0.8259503841400146
1,59653.4538269043,44381.10305786133,0.32941940426826477
1,87432.60293579102,36721.676025390625,0.6865395307540894
1,82134.79672241211,36867.713439941406,0.6786609888076782
1,88395.56246948242,37397.61280822754,0.7398419380187988
1,78667.0942993164,38381.60903930664,0.6132890582084656
1,17176.7513961792,47445.24362182617,0.7921229600906372
1,20941.424293518066,48932.488708496094,0.6395376324653625
1,21402.832626342773,49806.2458190918,0.7692335247993469
1,27720.044059753418,53798.912857055664,0.734794020652771
1,29449.570251464844,57551.4479675293,0.9814483523368835
1,17182.183891296387,59269.32167053223,0.9004155993461609
1,23709.0050201416,59557.91941833496,0.6196786761283875
1,2299.4895448684692,35420.813873291016,0.7019762992858887
1,4044.4983921051025,35789.44137573242,0.800977885723114
1,2936.308940887451,37139.54084777832,0.7530481219291687
1,2759.9746112823486,45076.43754577637,0.9412294030189514
1,4455.287727355957,48178.23582458496,0.8071679472923279
1,11761.09150314331,48935.93734741211,0.8077149391174316
1,10606.578742980957,50125.12048339844,0.6387964487075806
1,10222.242156982422,55799.72427368164,0.7152590751647949
1,11767.379047393799,57026.23448181152,0.8025774359703064
1,497.65953850746155,61446.482971191406,0.5843344330787659
1,2039.468614578247,71420.79998779297,0.6897785663604736
1,757.1249535083771,81982.26733398438,0.7424049377441406
1,1189.2710185050964,87113.20208740234,0.6966195106506348
1,59605.99060058594,44360.08413696289,0.7513740658760071
1,62128.90106201172,36645.84507751465,0.6401554942131042
1,43074.18978881836,48088.6707611084,0.8060066103935242
1,33265.32566833496,52140.10331726074,0.8837419748306274
1,36696.16320800781,53847.901306152344,0.6763825416564941
1,38764.39373779297,56409.244537353516,0.6182265281677246
1,53674.676528930664,45313.69323730469,0.823485255241394
1,50585.12269592285,47128.836334228516,0.7781729102134705
1,51316.08126831055,49920.97883605957,0.8491330742835999
1,49482.24085998535,50565.52944946289,0.867310643196106
1,52019.52894592285,52918.41845703125,0.6253200769424438
1,55624.640075683594,52944.90542602539,0.5943706035614014
1,50473.521896362305,53210.0026550293,0.7432159185409546
1,59606.52389526367,54235.0803527832,0.4934738278388977
1,53849.87449645996,54755.86749267578,0.669445812702179
1,51406.23651123047,54816.16534423828,0.704377293586731
1,91.70476949214935,27558.244232177734,0.8012988567352295
1,1024.1522092819214,35361.131088256836,0.7913045287132263
1,74473.34317016602,54057.809646606445,0.6477845907211304
1,69865.15097045898,58540.79847717285,0.7258333563804626
1,85802.54153442383,45672.16325378418,0.6960524916648865
1,82979.47860717773,46510.8046875,0.6736434102058411
1,77497.48663330078,46945.98025512695,0.735080897808075
1,78378.46810913086,47642.54487609863,0.7182750701904297
1,77353.24819946289,48816.7957611084,0.6477708220481873
1,78225.81784057617,50154.11038208008,0.639951765537262
1,83702.064453125,51150.4363861084,0.657430112361908
1,85280.9722290039,53263.925857543945,0.6462344527244568
1,13255.18675994873,16132.656410217285,0.6478208899497986
1,7191.992025375366,18760.34683227539,0.9828619360923767
1,5918.797201156616,20910.27099609375,0.7248719930648804
1,2265.931755065918,23238.116485595703,0.8859483599662781
1,36467.25891113281,47418.80642700195,0.9214460253715515
1,34686.77996826172,47652.48193359375,0.8151316046714783
1,37740.414627075195,60174.0703125,0.692504346370697
1,31653.954467773438,63090.11849975586,0.708503246307373
1,52046.85140991211,60750.554748535156,0.6242713332176208
1,57199.715240478516,63200.012756347656,0.7862875461578369
1,57288.22082519531,64982.46844482422,0.7329012155532837
1,72025.59881591797,64541.696838378906,0.713408350944519
1,25311.29776763916,92621.62414550781,0.7766363024711609
1,16368.3051071167,94921.01303100586,0.8237708806991577
1,19370.423500061035,96140.16021728516,0.8972892761230469
1,21492.23947906494,97131.8678894043,0.8662713766098022
1,55951.23684692383,55577.18395996094,0.7010801434516907
1,50180.067611694336,57263.86703491211,0.6480371356010437
1,53440.037536621094,57729.07775878906,0.8556053638458252
1,71848.60186767578,45900.95733642578,0.641155481338501
1,65419.47854614258,46020.6926574707,0.7753451466560364
1,71847.99035644531,48107.545837402344,0.6693888902664185
