frame,x [nm],y [nm],confidence [a.u]
1,106655.3020324707,19483.720176696777,0.759502649307251
1,74875.94509887695,21989.37855529785,0.7196439504623413
1,32069.80699157715,20092.273399353027,0.7613241076469421
1,18579.58837890625,22310.249519348145,0.6756024360656738
1,18288.589027404785,17501.12077331543,0.6715334057807922
1,4689.061004638672,25509.56428527832,0.7992060780525208
1,3403.8670501708984,22863.812950134277,0.6809314489364624
1,116352.71112060547,118660.34118652344,0.6658602356910706
1,119.57873517274857,29880.166595458984,0.818572998046875
1,11188.240581512451,44559.643005371094,0.7564079761505127
1,17240.95474243164,42723.11834716797,0.7263268828392029
1,6701.709341049194,62735.81173706055,0.6606603860855103
1,110679.52233886719,101416.25778198242,0.8241655230522156
1,54697.645935058594,108196.94317626953,0.7999333143234253
1,64455.50930786133,105203.23306274414,0.7743584513664246
1,3059.5308980941772,11097.02763748169,0.6767578125
1,105843.52087402344,6640.710651397705,0.7333602905273438
1,96606.16021728516,10394.330127716064,0.7014569640159607
1,93579.57781982422,9411.960445404053,0.6864602565765381
1,85803.99920654297,10393.01555633545,0.6917836666107178
1,88222.25592041016,4778.856273651123,0.8845999240875244
1,56474.39181518555,6579.696851730347,0.6969763040542603
1,32533.524490356445,4276.294479370117,0.7875477075576782
1,3521.903161048889,16457.900390625,0.7558584809303284
1,33498.5283203125,2475.4003496170044,0.8185431957244873
2,112389.2935180664,6553.584522247314,0.6964352130889893
2,4713.6507778167725,25514.50259399414,0.7488859295845032
2,105840.09356689453,6612.254047393799,0.877553403377533
2,32100.46076965332,20099.872848510742,0.7496089339256287
2,1048.9601888656616,39232.615798950195,0.845867931842804
2,28804.91120147705,42409.153549194336,0.6771087646484375
2,24523.97528076172,16662.5131149292,0.7713108658790588
2,6174.671098709106,10364.428295135498,0.7792774438858032
2,16984.317344665527,9381.351108551025,0.6884808540344238
2,16049.428665161133,9757.289192199707,0.7103508114814758
2,3288.3725328445435,84259.84802246094,0.7101841568946838
2,110706.34350585938,101412.33984375,0.8565434217453003
2,22372.170364379883,80443.88284301758,0.7252745628356934
2,17211.936401367188,42724.69689941406,0.9402210712432861
2,54694.90480041504,108200.48425292969,0.8242138028144836
2,32530.470489501953,4253.329921722412,0.8918826580047607
2,77586.33352661133,7837.191925048828,0.7881753444671631
2,93606.91094970703,9411.35071182251,0.82523512840271
2,33522.13194274902,2472.9934129714966,0.8235076069831848
3,88252.6181640625,4778.070552825928,0.8499493598937988
3,33523.16297912598,2476.737808227539,0.7704271078109741
3,38478.79666137695,1979.1512088775635,0.7179944515228271
3,23071.195251464844,11971.254936218262,0.7320246696472168
3,2123.0005598068237,87667.28814697266,0.7247927784919739
3,81576.10299682617,6786.592966079712,0.7940974235534668
3,24547.536239624023,16661.08388519287,0.6750251650810242
3,22921.69497680664,34803.251525878906,0.6906834244728088
3,27519.839904785156,35533.68391418457,0.7137678265571594
3,29275.165115356445,17011.636253356934,0.7763805389404297
3,1044.3574113845825,39233.433517456055,0.8610756397247314
3,76278.48876953125,31046.578048706055,0.83083176612854
3,110678.32775878906,101414.70767211914,0.8802645802497864
3,22424.15948486328,80467.42602539062,0.6743104457855225
3,54694.670150756836,108174.73678588867,0.6932913064956665
3,84524.09197998047,11354.364540100098,0.7523834109306335
3,116329.21771240234,118659.68701171875,0.7309156656265259
3,28805.359169006348,42432.93493652344,0.8185598850250244
3,17209.854774475098,42723.47743225098,0.8741345405578613
4,33521.385330200195,2500.0521183013916,0.7698216438293457
4,36144.98538208008,7660.101650238037,0.6479918956756592
4,81578.81213378906,6818.982173919678,0.655478298664093
4,14766.978511810303,27841.149948120117,0.7544694542884827
